period,signal_id,family,threshold_quantile,threshold,orientation,horizon,trades,games,pnl,mean_return,median_return,win_rate,max_drawdown,profit_factor,mean_fair_markout,median_weekly_score,mean_weekly_score,mean_weekly_pnl,positive_weeks,weeks
POSTSEASON_FINAL_AUDIT,tweak_outcome_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.85,1.172298631049096,-1,settle,11,11,12.364043181025446,0.11240039255477678,0.14692528735632177,0.5454545454545454,30.074999999999996,1.2466642031127273,0.03662539715297936,1.5231282213370916,-1.9214892047436378,3.0910107952563615,3,4
POSTSEASON_FINAL_AUDIT,tweak_process_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.6,0.4255413557822185,1,settle,12,12,-39.842159295479966,-0.33201799412899974,-1.0025,0.4166666666666667,41.58186517783291,0.43224568157492027,-0.07374658464542398,-16.729166666666664,-17.47928982386999,-9.960539823869992,0,4
POSTSEASON_FINAL_AUDIT,tweak_outcome_epa_agreement,DQ2_TWEAK_AGREEMENT,0.8,1.3042297086372814,-1,settle,7,7,-16.177805049088352,-0.2311115007012622,-1.0025,0.2857142857142857,38.41086956521738,0.6772507720880128,-0.05628644515575217,-11.43971774193548,-9.056951262272086,-4.044451262272088,1,4
POSTSEASON_FINAL_AUDIT,tweak_process_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.8,0.9452602120503795,1,settle,12,12,-38.204601208073264,-0.3183716767339439,-1.0025,0.3333333333333333,45.22462686567164,0.5236334013955951,-0.1250084967212579,-7.57481343283582,-14.563650302018315,-9.551150302018316,1,4
POSTSEASON_FINAL_AUDIT,tweak_outcome_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.8,0.8553897795105581,1,settle,12,12,-23.148555817184267,-0.19290463180986894,-1.0025,0.4166666666666667,43.425371120107954,0.6701310179239861,0.023472743979992872,-7.928365384615383,-10.799638954296066,-5.787138954296067,1,4
POSTSEASON_FINAL_AUDIT,tweak_outcome_remaining_time_scaled,DQ2_TWEAK_TIME_AWARE,0.9,0.1955260315222922,-1,settle,11,11,24.21589503287729,0.22014450029888447,0.33083333333333326,0.6363636363636364,20.049999999999997,1.603887656680232,0.055721555114440637,9.04187822133709,2.294598758219325,6.053973758219323,3,4
POSTSEASON_FINAL_AUDIT,tweak_market_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.85,1.1654701584764322,-1,30m,12,8,-22.108868656773147,-0.18424057213977618,-0.2380510752688172,0.4166666666666667,19.754291091481296,0.21788151282486298,-0.06313482536163433,-3.458657754846778,-7.6860868839617815,-5.527217164193287,2,4
POSTSEASON_FINAL_AUDIT,tweak_process_outcome_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.6,0.5590538939184704,1,settle,12,12,-1.9229702811030052,-0.016024752342525057,-0.46486559139784944,0.5,48.43586956521739,0.9680304192667829,0.04971168667931544,-6.674184782608695,-5.49324257027575,-0.4807425702757504,2,4
POSTSEASON_FINAL_AUDIT,tweak_outcome_epa_agreement,DQ2_TWEAK_AGREEMENT,0.9,1.7236665271576777,1,15m,5,5,-1.580144667009073,-0.03160289334018146,-0.036398305084745786,0.2,1.7772727272727273,0.3384303029868617,-0.0071960712410221285,-0.37613636363636377,-0.4405340481082005,-0.39503616675226827,1,4
POSTSEASON_FINAL_AUDIT,tweak_process_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.95,1.8038741256252755,1,15m,25,11,-13.02586179402331,-0.05210344717609325,-0.07522727272727275,0.28,17.55092646908798,0.5346691236177081,-0.015375390922436399,-4.033397195897194,-5.715714253774822,-3.2564654485058275,1,4
POSTSEASON_FINAL_AUDIT,tweak_process_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.9,1.299988181058947,1,15m,46,12,-29.28712370520973,-0.0636676602287168,-0.07457792207792208,0.30434782608695654,36.26127550795112,0.4966533318315768,-0.018138086526557306,-12.869506160662896,-12.520527478166043,-7.321780926302432,0,4
