model_id,test_epoch,train_rows,test_rows
dq2_market_elastic_30m_a0.0001_l0.1,16,3830,1872
dq2_market_elastic_30m_a0.0001_l0.1,17,4247,1810
dq2_market_elastic_30m_a0.0001_l0.1,18,4642,1799
dq2_market_elastic_30m_a0.0001_l0.1,19,5055,732
dq2_market_elastic_30m_a0.0001_l0.1,20,5215,528
dq2_market_elastic_30m_a0.0001_l0.1,21,5302,230
dq2_market_elastic_30m_a0.0001_l0.1,22,5357,130
dq2_market_elastic_30m_a0.001_l0.1,8,771,1449
dq2_market_elastic_30m_a0.001_l0.1,9,1070,1602
dq2_market_elastic_30m_a0.001_l0.1,10,1441,1629
dq2_market_elastic_30m_a0.001_l0.1,11,1819,1748
dq2_market_elastic_30m_a0.001_l0.1,12,2229,1645
dq2_market_elastic_30m_a0.001_l0.1,13,2612,1876
dq2_market_elastic_30m_a0.001_l0.1,14,3032,1640
dq2_market_elastic_30m_a0.001_l0.1,15,3409,1808
dq2_market_elastic_30m_a0.001_l0.1,16,3830,1872
dq2_market_elastic_30m_a0.001_l0.1,17,4247,1810
dq2_market_elastic_30m_a0.001_l0.1,18,4642,1799
dq2_market_elastic_30m_a0.001_l0.1,19,5055,732
dq2_market_elastic_30m_a0.001_l0.1,20,5215,528
dq2_market_elastic_30m_a0.001_l0.1,21,5302,230
dq2_market_elastic_30m_a0.001_l0.1,22,5357,130
dq2_market_elastic_30m_a0.001_l0.5,8,771,1449
dq2_market_elastic_30m_a0.001_l0.5,9,1070,1602
dq2_market_elastic_30m_a0.001_l0.5,10,1441,1629
dq2_market_elastic_30m_a0.001_l0.5,11,1819,1748
dq2_market_elastic_30m_a0.001_l0.5,12,2229,1645
dq2_market_elastic_30m_a0.001_l0.5,13,2612,1876
dq2_market_elastic_30m_a0.001_l0.5,14,3032,1640
dq2_market_elastic_30m_a0.001_l0.5,15,3409,1808
dq2_market_elastic_30m_a0.001_l0.5,16,3830,1872
dq2_market_elastic_30m_a0.001_l0.5,17,4247,1810
dq2_market_elastic_30m_a0.001_l0.5,18,4642,1799
dq2_market_elastic_30m_a0.001_l0.5,19,5055,732
dq2_market_elastic_30m_a0.001_l0.5,20,5215,528
dq2_market_elastic_30m_a0.001_l0.5,21,5302,230
dq2_market_elastic_30m_a0.001_l0.5,22,5357,130
dq2_market_hgb_30m_l7_r5,8,771,1449
dq2_market_hgb_30m_l7_r5,9,1070,1602
dq2_market_hgb_30m_l7_r5,10,1441,1629
dq2_market_hgb_30m_l7_r5,11,1819,1748
dq2_market_hgb_30m_l7_r5,12,2229,1645
dq2_market_hgb_30m_l7_r5,13,2612,1876
dq2_market_hgb_30m_l7_r5,14,3032,1640
dq2_market_hgb_30m_l7_r5,15,3409,1808
dq2_market_hgb_30m_l7_r5,16,3830,1872
dq2_market_hgb_30m_l7_r5,17,4247,1810
