scenario,latency_seconds,friction_bps,min_entry_price,max_entry_price,max_spread,period,signal_id,family,threshold_quantile,threshold,orientation,horizon,trades,games,pnl,mean_return,median_return,win_rate,max_drawdown,profit_factor,mean_fair_markout,median_weekly_score,mean_weekly_score,mean_weekly_pnl,positive_weeks,weeks
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,dq2_outcome_hgb_l7_r5_surprise_ewm5,DQ2_EPA_HGB,0.7,0.1476416999738668,1,settle,12,12,-4.742679564552287,-0.039522329704602344,-0.46486559139784944,0.5,45.30297482837528,0.9211524594421897,0.029266295344394743,-6.674184782608695,-6.198169891138071,-1.1856698911380716,2,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,dq2_outcome_hgb_l7_r5_surprise_ewm10,DQ2_EPA_HGB,0.6,0.0875126599862819,1,settle,12,12,-31.514850663753418,-0.2626237555312785,-1.0025,0.4166666666666667,45.302974828375284,0.550910571232584,-0.060992602514387206,-13.155937917689066,-12.891212665938353,-7.878712665938354,1,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,p11_cvw0.5_k3_c0.1_tnone,P11_V2_GRID,0.6,3.1930212085612006,1,settle,12,12,-52.011134538966814,-0.4334261211580568,-1.0025,0.3333333333333333,51.96113453896682,0.35148211298046356,-0.07695416448198372,-20.993067269483408,-19.268408634741704,-13.002783634741704,0,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,p11_cvw0.5_k3_c0.1_tremaining_linear,P11_V2_GRID,0.6,0.15965106042806,1,settle,12,12,-52.011134538966814,-0.4334261211580568,-1.0025,0.3333333333333333,51.96113453896682,0.35148211298046356,-0.07695416448198372,-20.993067269483408,-19.268408634741704,-13.002783634741704,0,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,p11_cvw0.5_k3_c0.1_telapsed_sqrt,P11_V2_GRID,0.6,3.1828501141215737,1,settle,12,12,-51.60297127366069,-0.43002476061383915,-1.0025,0.3333333333333333,51.96113453896682,0.3565714305029838,-0.0769243260995127,-20.788985636830347,-19.166367818415175,-12.900742818415173,0,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,p11_cvw0.5_k3_c0.1_tp11_cosine,P11_V2_GRID,0.6,0.3221907791020931,1,settle,12,12,-52.011134538966814,-0.4334261211580568,-1.0025,0.3333333333333333,51.96113453896682,0.35148211298046356,-0.07675002938118712,-20.993067269483408,-19.268408634741704,-13.002783634741704,0,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,dq2_process_hgb_l15_r10_surprise_ewm5,DQ2_EPA_HGB,0.8,0.5176337005850116,-1,settle,12,12,34.70786441289874,0.28923220344082284,0.4364233954451347,0.75,10.024999999999999,2.1540437045020364,0.17744049016316274,9.366431525398921,7.423841103224687,8.676966103224686,3,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,dq2_process_hgb_l7_r5_surprise_ewm10,DQ2_EPA_HGB,0.6,0.2542854895101879,1,settle,12,12,-0.9926089363745376,-0.008271741136454513,-0.46486559139784944,0.5,28.385869565217387,0.9834977732938563,0.05518941208094269,-6.674184782608695,-6.513777234093634,-0.24815223409363485,2,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,dq2_market_hgb_15m_l7_r5,DQ2_MARKET_HGB,0.8,0.0398489669697667,-1,30m,7,6,-1.8914085622950791,-0.02702012231850112,-0.025755813953488412,0.42857142857142855,2.3166666666666664,0.7711912606410545,0.0046650189139693975,0.05102862254025067,-0.7624354739071031,-0.4728521405737698,2,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,dq2_market_hgb_15m_l7_r5,DQ2_MARKET_HGB,0.85,0.0461950882524378,-1,30m,4,4,-6.918162393162391,-0.17295405982905976,-0.17263888888888884,0.25,3.4527777777777766,0.049412800939518615,-0.06656351799747709,0.0,-2.16113782051282,-1.7295405982905978,1,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,dq2_market_hgb_15m_l15_r10,DQ2_MARKET_HGB,0.95,0.0855382209696666,-1,5m,0,0,0.0,,,,0.0,,,0.0,0.0,0.0,0,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,dq2_market_hgb_15m_l31_r20,DQ2_MARKET_HGB,0.7,0.0415017778949682,1,settle,12,12,18.89546520467978,0.15746221003899816,0.4717524916943522,0.5833333333333334,39.31632379248658,1.3769668868764045,0.11097871843519025,-7.928365384615383,0.9644913011699452,4.723866301169943,1,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,prior_sq_process_adjustment_ewm5,PRIOR_SQ_EPA,0.8,0.628218750930896,-1,30m,36,12,-8.124633876688064,-0.022568427435244603,-0.0025,0.4722222222222222,29.755423675124916,0.8439664842790667,0.0016492704682024195,-1.7726796487825904,-6.406729622006016,-2.0311584691720155,2,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,baseline_cumulative_epa,BASELINE,0.8,14.412759758532047,-1,30m,8,5,-15.895767195767194,-0.19869708994708993,-0.09972222222222221,0.5,13.106481481481477,0.37996863004086345,-0.019906200432767068,-1.3651785714285711,-6.234126984126983,-3.9739417989417984,1,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,baseline_cumulative_epa,BASELINE,0.7,10.731233805418007,1,settle,9,9,6.553994150185696,0.07282215722428548,0.2962012987012987,0.7777777777777778,10.024999999999999,1.3268825012561445,0.045919662371095064,2.7996753246753254,1.6384985375464238,1.6384985375464238,3,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,baseline_net_yards_007,BASELINE,0.9,7.385,-1,5m,9,3,-1.4874344552106278,-0.016527049502340314,-0.0025,0.3333333333333333,2.710965166655613,0.46919885287755136,0.00026190166957747635,0.0,-0.48511991258630804,-0.3718586138026569,1,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,p11_v2_exact,P11_V2_EXACT,0.6,0.3359957097075061,-1,settle,10,10,5.138327639648173,0.051383276396481735,0.16804580100721372,0.7,20.049999999999997,1.1708504618336883,0.030393758325540848,-1.014699208169199,0.03145690991204317,1.284581909912043,2,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,baseline_current_dq_cumulative,BASELINE,0.8,6.122135242000772,1,15m,7,3,-27.26398046398046,-0.38948543519972084,-0.2882142857142857,0.0,25.01675824175824,0.0,-0.02123928036719776,-5.136111111111111,-8.936839896214895,-6.815995115995115,0,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,p11_v2_exact,P11_V2_EXACT,0.9,0.7779313984309322,-1,15m,9,2,-6.916633486949786,-0.07685148318833096,-0.01348901098901095,0.2222222222222222,7.58682603508682,0.09430521853295648,-0.05348270302028256,0.0,-2.6358449594566324,-1.7291583717374466,1,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,p11_v2_exact,P11_V2_EXACT,0.8,0.5741461803163885,-1,30m,8,3,-11.523982541899471,-0.1440497817737434,-0.0568478260869566,0.25,12.28130648256843,0.09552609989982111,-0.10593802649372414,-1.6282450705480633,-3.983929468183981,-2.8809956354748674,0,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,p11_v2_exact,P11_V2_EXACT,0.9,0.7779313984309322,-1,5m,14,2,-1.4409193239343803,-0.010292280885245577,-0.0025,0.2857142857142857,1.9512278793341,0.3581021161677081,0.0027944092902233353,-0.05292602307275329,-0.6124181996212881,-0.3602298309835952,1,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,baseline_net_yards_007,BASELINE,0.9,7.385,-1,30m,3,2,-2.058872534732343,-0.06862908449107809,-0.03583333333333333,0.3333333333333333,0.3583333333333334,0.1555518585890383,-0.032698210353026926,0.0,-0.5147181336830857,-0.5147181336830857,1,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,baseline_current_dq_cumulative,BASELINE,0.85,6.962058824045694,1,30m,4,2,-9.80405982905983,-0.24510149572649573,-0.1606196581196581,0.5,15.309615384615386,0.3596142304847242,-0.015816467748406712,0.0,-4.364716880341881,-2.4510149572649578,1,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,tweak_process_outcome_agreement,DQ2_TWEAK_AGREEMENT,0.8,1.5641421815391412,1,settle,12,12,14.364358047454466,0.11970298372878718,-1.0025,0.4166666666666667,40.099999999999994,1.2046933815098608,0.030335330009891904,6.5904069767441875,-0.1682854881363829,3.5910895118636166,2,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,tweak_process_outcome_ensemble,DQ2_TWEAK_ENSEMBLE,0.85,1.5079970473606323,1,settle,12,12,-7.152325471251302,-0.059602712260427536,-1.0025,0.3333333333333333,48.43586956521739,0.9108188843983628,-0.03978056740081323,-6.674184782608695,-6.800581367812824,-1.7880813678128247,2,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,tweak_process_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.6,0.4255413557822185,1,settle,12,12,-39.842159295479966,-0.33201799412899974,-1.0025,0.4166666666666667,41.58186517783291,0.43224568157492027,-0.07374658464542398,-16.729166666666664,-17.47928982386999,-9.960539823869992,0,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,tweak_outcome_epa_agreement,DQ2_TWEAK_AGREEMENT,0.8,1.3042297086372814,-1,settle,7,7,-16.177805049088352,-0.2311115007012622,-1.0025,0.2857142857142857,38.41086956521738,0.6772507720880128,-0.05628644515575217,-11.43971774193548,-9.056951262272086,-4.044451262272088,1,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,tweak_process_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.8,0.9452602120503795,1,settle,12,12,-38.204601208073264,-0.3183716767339439,-1.0025,0.3333333333333333,45.22462686567164,0.5236334013955951,-0.1250084967212579,-7.57481343283582,-14.563650302018315,-9.551150302018316,1,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,tweak_outcome_remaining_time_scaled,DQ2_TWEAK_TIME_AWARE,0.9,0.1955260315222922,-1,settle,11,11,24.21589503287729,0.22014450029888447,0.33083333333333326,0.6363636363636364,20.049999999999997,1.603887656680232,0.055721555114440637,9.04187822133709,2.294598758219325,6.053973758219323,3,4
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,tweak_market_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.85,1.1654701584764322,-1,30m,12,8,-22.108868656773147,-0.18424057213977618,-0.2380510752688172,0.4166666666666667,19.754291091481296,0.21788151282486298,-0.06313482536163433,-3.458657754846778,-7.6860868839617815,-5.527217164193287,2,4
