signal_id,family,threshold_quantile,threshold,orientation,horizon,trades,games,pnl,mean_return,median_return,win_rate,max_drawdown,profit_factor,mean_fair_markout,median_weekly_score,mean_weekly_score,mean_weekly_pnl,positive_weeks,weeks,eligible_for_ranking,selection_rank
recent_net_yards_ewm10,RECENCY_BASELINE,0.9,6.37787415176415,-1,30m,120,42,108.87394773048686,0.09072828977540573,0.03453703703703698,0.5333333333333333,31.20038872136577,1.5927423216601295,0.03026000208009183,26.446950245562665,24.795534522432302,36.291315910162304,3,3,True,148.0
dq2_outcome_hgb_l15_r10_process_ewm10,DQ2_EPA_HGB,0.95,0.7809674645812297,-1,15m,52,30,52.54885729395385,0.10105549479606507,-0.0244676266554551,0.4423076923076923,31.344511727571454,1.5314978063998173,0.06380738052769984,23.953025741397816,10.330331359924019,17.516285764651286,2,3,True,159.0
dq2_process_elastic_a0.01_l0.1_cum_margin,DQ2_EPA_ELASTIC,0.9,9.626074819218536,-1,15m,27,8,32.002451041558245,0.11852759645021572,-0.015320512820512886,0.48148148148148145,16.566561074314922,2.0310077740218464,0.06449556599486508,19.075358753151093,7.185282109525534,10.667483680519416,2,3,True,258.0
dq2_process_ridge_a100_cum_margin,DQ2_EPA_RIDGE,0.9,9.470738250107578,-1,15m,30,9,41.27665739076459,0.1375888579692153,-0.019326923076923127,0.43333333333333335,15.360007201824606,2.16807969281977,0.06235539291562746,18.874667435427995,10.070765955998787,13.75888579692153,2,3,True,262.0
dq2_process_ridge_a10_cum_margin,DQ2_EPA_RIDGE,0.85,8.459334242787897,-1,15m,41,10,23.919045490561484,0.05833913534283289,-0.015320512820512886,0.4878048780487805,14.666916206987128,1.4322733562596706,0.04910398469570673,13.735198499182975,3.0163547619589237,7.973015163520493,2,3,True,348.0
dq2_market_hgb_15m_l15_r10,DQ2_MARKET_HGB,0.95,0.08553822096966668,-1,5m,27,13,10.343686580737355,0.038309950299027236,-0.015657894736842145,0.4074074074074074,9.96500904159132,1.4846281225827238,0.01852541964499987,6.722172030867679,1.3472863908946746,3.447895526912451,2,3,True,537.0
dq2_market_elastic_30m_a0.0001_l0.1,DQ2_MARKET_ELASTIC,0.85,0.08379702828544232,-1,5m,78,19,-12.730798481478505,-0.01632153651471602,-0.007819148936170138,0.38461538461538464,26.73446285655623,0.8075333456949173,0.01434627765799466,3.5676470588235274,-8.875103298847227,-4.243599493826166,2,3,True,697.0
dq2_market_ridge_30m_a1,DQ2_MARKET_RIDGE,0.85,0.08222684589423669,-1,5m,80,19,-22.357721558401575,-0.027947151948001965,-0.013313654430675613,0.375,38.06715516424854,0.6916311100484264,0.01161046597264621,3.5676470588235274,-13.972859709103638,-7.452573852800525,2,3,True,697.0
dq2_market_hgb_15m_l31_r20,DQ2_MARKET_HGB,0.95,0.09101248006577299,-1,5m,45,22,-5.890358733702726,-0.01308968607489494,-0.029527027027027083,0.35555555555555557,25.410342728271164,0.8754221461805787,0.006497098319564447,3.4636822025282763,-7.155031427303894,-1.963452911234242,2,3,True,706.0
p11_cvw1_k0_c0.085_tp11_cosine,P11_V2_GRID,0.9,0.8687264546889363,1,5m,30,8,10.217889784711478,0.03405963261570491,0.01972222222222214,0.5,21.291124871001024,1.2518140058388738,0.02874656749358796,2.752777777777779,-0.9318432645487276,3.4059632615704927,2,3,True,789.0
dq2_market_ridge_30m_a10,DQ2_MARKET_RIDGE,0.85,0.07379574163428364,-1,settle,29,29,49.801695694031906,0.17172998515183413,0.23206790123456783,0.5862068965517241,45.8642857142857,1.4139791828265327,0.07576196454100421,26.155070546737214,1.3124699932487331,16.600565231343968,2,3,True,150.0
dq2_market_hgb_15m_l31_r20,DQ2_MARKET_HGB,0.7,0.04150177789496825,1,settle,43,43,62.77395015992107,0.1459859306044676,0.13386363636363646,0.5116279069767442,60.76334841628958,1.2981781268729184,0.06427442323152512,23.060888778328028,2.4432586505921066,20.924650053307037,2,3,True,171.0
dq2_market_elastic_15m_a0.001_l0.5,DQ2_MARKET_ELASTIC,0.85,0.04091035419988904,-1,settle,20,20,94.12276573785033,0.4706138286892516,0.24016748996603882,0.7,30.075000000000017,2.564800760396514,0.09725401248092821,21.915174019932504,26.361755245950103,31.374255245950106,2,3,True,220.0
dq2_outcome_elastic_a0.01_l0.5_process_ewm5,DQ2_EPA_ELASTIC,0.95,1.0485626365786336,1,30m,70,37,57.6374768871921,0.08233925269598873,0.03446236559139787,0.5714285714285714,13.03717717114947,1.9718152166880993,0.04300753587492606,20.21320190965223,13.504102272220818,19.2124922957307,3,3,True,250.0
prior_sq_process_adjustment_ewm5,PRIOR_SQ_EPA,0.8,0.628218750930896,-1,30m,143,41,72.5247658830592,0.0507166194986428,-0.0025,0.4965034965034965,29.653961348055724,1.3482675130607495,0.0344457301288124,20.06133501806972,12.649362109432346,24.17492196101973,2,3,True,251.0
p11_cvw1_k0_c0.055_telapsed_sqrt,P11_V2_GRID,0.6,3.740202963619133,-1,30m,96,38,44.50137579553016,0.04635559978701059,0.009064171122994681,0.53125,20.47146232521694,1.4874886028211478,0.0178568043117193,18.94820403259247,6.692547704855952,14.833791931843388,2,3,True,259.0
dq2_outcome_ridge_a0.1_process_ewm5,DQ2_EPA_RIDGE,0.95,1.062507381292802,1,30m,71,36,53.1846309585362,0.07490793092751578,0.016367924528301884,0.5492957746478874,17.529499163672565,1.85005147955985,0.038365114709429576,14.811063578872009,11.197950942357828,17.72821031951207,2,3,True,324.0
dq2_winprob_market_plus_dq_c10,DQ2_WINPROB_RESIDUAL,0.7,0.18639673359476663,-1,30m,78,27,25.242083478781915,0.03236164548561783,0.006120689655172375,0.5,33.75159844572053,1.2435786036791159,0.03809853466962357,13.253167613347195,-0.6707493017572664,8.414027826260638,2,3,True,355.0
prior_sq_adjustment_ewm20,PRIOR_SQ_EPA,0.85,0.027810652638093077,-1,15m,262,45,-10.92143106596469,-0.004168485139681165,-0.02463255074590359,0.4389312977099237,99.63926284857331,0.9688695070168605,0.014196031829196072,10.324724585329514,-28.667290683258074,-3.640477021988225,2,3,True,419.0
baseline_cumulative_epa,BASELINE,0.8,14.412759758532049,-1,30m,18,11,30.812468010146038,0.17118037783414464,-0.35041666666666665,0.2777777777777778,24.95191825718142,1.4738679870815792,0.03280580808124561,10.01115543383345,1.664951689177694,10.270822670048675,2,3,True,425.0
