period,signal_id,family,threshold_quantile,orientation,horizon,trades,games,pnl,mean_return,median_return,win_rate,max_drawdown,profit_factor,mean_fair_markout,bootstrap_mean_return_p025,bootstrap_mean_return_p50,bootstrap_mean_return_p975,bootstrap_probability_positive,top_game_abs_pnl_share,leave_one_game_out_min_pnl,leave_one_game_out_max_pnl,pnl_by_entry_price_bucket
CONFIRMATION_PLUS_FINAL,dq2_process_hgb_l7_r5_surprise_ewm10,DQ2_EPA_HGB,0.6,1,settle,90,90,130.41887033787813,0.14490985593097572,-0.46486559139784944,0.5,62.018181818181816,1.289096969438356,0.0849071620152432,-0.1276249710568696,0.14204773569623774,0.4303541663251334,0.843,0.036404745702024746,92.82482271883052,140.44387033787814,"{"".15-.35"": 132.30576455999997, "".35-.65"": 93.42261227618526, "".65-.85"": 2.5211061685959164, "".85-1"": 2.4193873330970077, ""0-.15"": -100.24999999999999}"
REG_WEEKS_14_18_CONFIRMATION,dq2_market_hgb_15m_l7_r5,DQ2_MARKET_HGB,0.8,-1,30m,76,47,44.49509472247992,0.058546177266420946,-0.0025,0.4868421052631579,17.146739121222126,1.5565337063329165,0.023303164760886064,-0.030703638465811745,0.05750257792072753,0.1550048963636959,0.8934,0.1122995603184179,25.472393265606573,55.340967587755046,"{"".15-.35"": 42.25457570862544, "".35-.65"": 3.5497306344700332, "".65-.85"": -5.024094088783965, "".85-1"": -2.2601175318315887, ""0-.15"": 5.975}"
POSTSEASON_FINAL_AUDIT,dq2_market_hgb_15m_l7_r5,DQ2_MARKET_HGB,0.8,-1,30m,7,6,-1.8914085622950791,-0.02702012231850112,-0.025755813953488412,0.42857142857142855,2.3166666666666664,0.7711912606410545,0.0046650189139693975,-0.20302126813754723,-0.027020122318501125,0.12388231174482525,0.3754,0.35069089613100135,-5.13171468474406,1.933591437704921,"{"".35-.65"": -1.9934658073755802, "".65-.85"": 0.35961538461538545, "".85-1"": -0.2575581395348841}"
CONFIRMATION_PLUS_FINAL,dq2_market_hgb_15m_l7_r5,DQ2_MARKET_HGB,0.8,-1,30m,83,53,42.60368616018483,0.05132974236166849,-0.0025,0.4819277108433735,17.146739121222126,1.4829433616674197,0.021731272942471413,-0.03242790002389811,0.049701414690344246,0.13970724767317788,0.877,0.10550610972544149,23.58098470331151,53.44955902545998,"{"".15-.35"": 42.25457570862544, "".35-.65"": 1.556264827094453, "".65-.85"": -4.664478704168579, "".85-1"": -2.5176756713664727, ""0-.15"": 5.975}"
REG_WEEKS_14_18_CONFIRMATION,dq2_market_hgb_15m_l7_r5,DQ2_MARKET_HGB,0.85,-1,30m,51,35,42.13852167993749,0.08262455231360297,0.030833333333333438,0.5490196078431373,28.735003035382086,1.6317567285156833,0.02590262146605891,-0.060520039251194556,0.08199181370184128,0.2359798283398669,0.8708,0.12415864973083698,22.626081417094007,52.98439454521263,"{"".15-.35"": 34.31041062323644, "".35-.65"": 9.70645046367066, "".65-.85"": -5.790677273033835, "".85-1"": -2.062662133935772, ""0-.15"": 5.975}"
POSTSEASON_FINAL_AUDIT,dq2_market_hgb_15m_l7_r5,DQ2_MARKET_HGB,0.85,-1,30m,4,4,-6.918162393162391,-0.17295405982905976,-0.17263888888888884,0.25,3.4527777777777766,0.049412800939518615,-0.06656351799747709,-0.31527777777777777,-0.17295405982905981,-0.030945512820512742,0.0036,0.5008253364295107,-7.277777777777777,-3.093162393162391,"{"".35-.65"": -7.277777777777777, "".65-.85"": 0.35961538461538545}"
CONFIRMATION_PLUS_FINAL,dq2_market_hgb_15m_l7_r5,DQ2_MARKET_HGB,0.85,-1,30m,55,39,35.22035928677509,0.06403701688504568,0.019005376344086004,0.5272727272727272,28.735003035382086,1.4760902284078414,0.019177811323256296,-0.0669148065899239,0.06354844770019799,0.2042896744726635,0.8186,0.11840453042633514,15.707919023931609,46.06623215205023,"{"".15-.35"": 34.31041062323644, "".35-.65"": 2.4286726858928813, "".65-.85"": -5.43106188841845, "".85-1"": -2.062662133935772, ""0-.15"": 5.975}"
REG_WEEKS_14_18_CONFIRMATION,dq2_market_hgb_15m_l15_r10,DQ2_MARKET_HGB,0.95,-1,5m,29,20,5.38641950568437,0.01857386036442887,-0.041461038961038976,0.3448275862068966,16.142588994389616,1.2118233624882262,-0.008846637364289906,-0.11091615798968142,0.008463013637381328,0.1995238702259174,0.54,0.4044862262979394,-16.765471250618138,11.475078668884768,"{"".15-.35"": 1.242799847211609, "".35-.65"": -13.088367441258516, "".65-.85"": -3.0628178664798007, "".85-1"": 0.3198049662110836, ""0-.15"": 19.974999999999994}"
POSTSEASON_FINAL_AUDIT,dq2_market_hgb_15m_l15_r10,DQ2_MARKET_HGB,0.95,-1,5m,0,0,0.0,,,,0.0,,,,,,,,,,{}
CONFIRMATION_PLUS_FINAL,dq2_market_hgb_15m_l15_r10,DQ2_MARKET_HGB,0.95,-1,5m,29,20,5.38641950568437,0.01857386036442887,-0.041461038961038976,0.3448275862068966,16.142588994389616,1.2118233624882262,-0.008846637364289906,-0.10812156144086249,0.009547635009679326,0.18918463937045474,0.5426,0.4044862262979394,-16.765471250618138,11.475078668884768,"{"".15-.35"": 1.242799847211609, "".35-.65"": -13.088367441258516, "".65-.85"": -3.0628178664798007, "".85-1"": 0.3198049662110836, ""0-.15"": 19.974999999999994}"
