period,signal_id,family,threshold_quantile,threshold,orientation,horizon,trades,games,pnl,mean_return,median_return,win_rate,max_drawdown,profit_factor,mean_fair_markout,median_weekly_score,mean_weekly_score,mean_weekly_pnl,positive_weeks,weeks
REG_WEEKS_14_18_CONFIRMATION,dq2_outcome_hgb_l15_r10_process_ewm10,DQ2_EPA_HGB,0.95,0.7809674645812297,-1,15m,106,58,-99.23265344079877,-0.09361571079320637,-0.07942307692307699,0.3490566037735849,105.82699569274966,0.5365629731979282,-0.004645762450179279,-40.84062892400655,-35.791432717552276,-19.84653068815975,1,5
REG_WEEKS_14_18_CONFIRMATION,dq2_process_elastic_a0.01_l0.1_cum_margin,DQ2_EPA_ELASTIC,0.9,9.626074819218536,-1,15m,46,23,-93.4966224593503,-0.20325352708554406,-0.29119047619047617,0.2608695652173913,106.98777892193536,0.4043271233407641,-0.04078050903935702,-36.970238895930876,-32.691785311245624,-18.699324491870055,0,5
REG_WEEKS_14_18_CONFIRMATION,dq2_process_ridge_a100_cum_margin,DQ2_EPA_RIDGE,0.9,9.470738250107578,-1,15m,56,25,-111.60389682993886,-0.19929267291060507,-0.26730836236933797,0.23214285714285715,125.09505329252391,0.3772321861671218,-0.03731384498657086,-45.52356507027347,-38.34389753031453,-22.32077936598777,0,5
REG_WEEKS_14_18_CONFIRMATION,dq2_process_ridge_a10_cum_margin,DQ2_EPA_RIDGE,0.85,8.459334242787897,-1,15m,77,30,-116.67248058562247,-0.15152270205924995,-0.16159090909090906,0.3246753246753247,129.55340224705543,0.42105945800338146,-0.028859300009104197,-35.234612256017314,-39.22634427200537,-23.33449611712449,0,5
REG_WEEKS_14_18_CONFIRMATION,dq2_market_hgb_15m_l15_r10,DQ2_MARKET_HGB,0.95,0.08553822096966668,-1,5m,29,20,5.38641950568437,0.01857386036442887,-0.041461038961038976,0.3448275862068966,16.142588994389616,1.2118233624882262,-0.008846637364289906,0.07018067904263037,-0.9821653630775706,1.0772839011368738,3,5
REG_WEEKS_14_18_CONFIRMATION,dq2_market_elastic_30m_a0.0001_l0.1,DQ2_MARKET_ELASTIC,0.85,0.08379702828544232,-1,5m,5,4,3.1859243697478976,0.06371848739495795,0.07249999999999995,0.8,0.9773809523809524,4.259654653578848,0.040673603256339765,0.7249999999999995,0.5394467787114843,0.6371848739495796,3,5
REG_WEEKS_14_18_CONFIRMATION,dq2_market_ridge_30m_a1,DQ2_MARKET_RIDGE,0.85,0.08222684589423669,-1,5m,5,4,3.1859243697478976,0.06371848739495795,0.07249999999999995,0.8,0.9773809523809524,4.259654653578848,0.040673603256339765,0.7249999999999995,0.5394467787114843,0.6371848739495796,3,5
REG_WEEKS_14_18_CONFIRMATION,dq2_market_hgb_15m_l31_r20,DQ2_MARKET_HGB,0.95,0.09101248006577299,-1,5m,28,17,-25.87951516355255,-0.09242683986983051,-0.08893815201192246,0.2857142857142857,27.387895574100074,0.46230479488407145,-0.013603280573643985,-13.40703520873069,-8.510499728421873,-5.17590303271051,2,5
REG_WEEKS_14_18_CONFIRMATION,p11_cvw1_k0_c0.085_tp11_cosine,P11_V2_GRID,0.9,0.8687264546889363,1,5m,18,9,-12.488679919114693,-0.06938155510619275,-0.14833333333333326,0.2222222222222222,30.132722832722834,0.6791643659581162,-0.003006975905834341,-5.516666666666665,-5.7101645817950155,-2.497735983822939,1,5
REG_WEEKS_14_18_CONFIRMATION,dq2_market_ridge_30m_a10,DQ2_MARKET_RIDGE,0.85,0.07379574163428364,-1,settle,16,16,20.143622639300172,0.12589764149562602,0.2475,0.5625,37.62499999999999,1.287048416662632,0.0790527881771572,-7.549999999999999,2.9768472384827462,4.028724527860035,1,5
